title,day,time,full_time,organizer,num_comments,url,description,comment
"Creative Coding with Processing",4,"8:00 pm","June 4, 2013 @ 8:00 pm – 9:30 pm",gh726,36,http://itp.nyu.edu/camp2013/ai1ec_event/creative-coding-with-processing/?instance_id=646,"This workshop will give you an introduction to the basic principles of creative coding with Processing. Processing is an open-source coding platform used by designers and developers to create interactive installations, data visualizations, software tools, and much much more.",yes!
"Intro to Jitter &amp; computer vision",6,"6:00 pm","June 6, 2013 @ 6:00 pm – 8:00 pm",Scott!,23,http://itp.nyu.edu/camp2013/ai1ec_event/intro-to-jitter-computer-vision/?instance_id=807,"Jitter is a video library for Max, by cycling 74. There&#8217;s a lot to explore in this toolset : real-time video manipulation, OpenGL, computer vision, physical modeling. So many things! You can find out about more about the package at the cycling74 website.",RSVP
"Kids Day Planning",10,"5:30 pm","June 10, 2013 @ 5:30 pm – 6:00 pm","Jaymes Dec",4,http://itp.nyu.edu/camp2013/ai1ec_event/kids-day-planning/?instance_id=776,"This will just be a quick chat to gauge interest in helping to plan activities and brainstorming for Kids Day -","I&#8217;ll be there"
"Really Big Video Part 1",11,"7:30 pm","June 11, 2013 @ 7:30 pm – 9:00 pm",gabebc@gmail.com,45,http://itp.nyu.edu/camp2013/ai1ec_event/2427-2/?instance_id=373,"This session will introduce Big Building Mapping and Video Projection. I will begin by showing examples of site-specific and video mapping pieces and then we will map a real building using a spatial scan in Mad Mapper. For homework each camper will get a scan to work from and some tips on how to create giant projections. Part 2 of the session will allow campers to showcase their mapped work projected 3 stories tall on an actual building on broadway.",RSVP
"Guest Speaker: Clive Thompson &#8211; &#8220;the new literacies&#8221;",17,"8:00 pm","June 17, 2013 @ 8:00 pm – 9:00 pm",dkawasaki@gmail.com,21,http://itp.nyu.edu/camp2013/ai1ec_event/guest-speaker-clive-thompson/?instance_id=1024,,RSVP
"Jitter Workshop: Coding for Video Art",18,"7:00 pm","June 18, 2013 @ 7:00 pm – 9:00 pm",gabebc@gmail.com,26,http://itp.nyu.edu/camp2013/ai1ec_event/jitter-workshop-coding-for-video-art/?instance_id=941,,"Yes, thank you!"
"Kids Day",19,"4:00 pm","June 19, 2013 @ 4:00 pm – 6:00 pm","Jaymes Dec",3,http://itp.nyu.edu/camp2013/ai1ec_event/3075-2/?instance_id=949,"ITP Camp is a summer camp for adults. But for two hours on June 19th we are going to open the doors to children of all ages. Please sign up for one ticket per child so that we have a sense of how many are coming.","My two girls are there!"
"Jitter-centric Weenie roast",20,"4:30 pm","June 20, 2013 @ 4:30 pm – 7:00 pm",Scott!,7,http://itp.nyu.edu/camp2013/ai1ec_event/jitter-centric-weenie-roast/?instance_id=1139,"A bunch of people have asked for some specialized help with Max/Jitter to supplement the intro sessions Gabe and I have run. However, there&#8217;s little consensus on what people want to get out of it. Requests have come in for OpenGL help, video tracking, and affirmation of life goals.","I just need to be there to simmer.."
"Zero to Plastic Part 1: Using SketchUp to design for 3D Printing",20,"7:00 pm","June 20, 2013 @ 7:00 pm – 8:00 pm",fredini@gmail.com,11,http://itp.nyu.edu/camp2013/ai1ec_event/zero-to-plastic-part-1-using-sketchup-to-design-for-3d-printing/?instance_id=1009,"Your host the Great Fredini will go through the basics of 3D design in SketchUp. We&#8217;ll cover Sketch up&#8217;s basic tools and the use of digital calipers to design a 3D object based on real world measurements. Once parts are designed, we will export them as STL files and prep them for 3D printing with Netfabb Basic and slice the file with Makerware for printing on the ITP Makerbot.",RSVP
"Working with Words",21,"6:15 pm","June 21, 2013 @ 6:15 pm – 8:45 pm",robseward@gmail.com,8,http://itp.nyu.edu/camp2013/ai1ec_event/working-with-words/?instance_id=990,,"I&#8217;ll try to be there, but for sure late."
"Really Big Video Part 2",27,"7:30 pm","June 27, 2013 @ 7:30 pm – 10:00 pm",gabebc@gmail.com,37,http://itp.nyu.edu/camp2013/ai1ec_event/really-big-video-part-2/?instance_id=937,"In this session, campers will compile and project their work from the previous week onto a giant building on broadway using video mapping and one really big projector. Taught by Gabe BC",RSVP
"End-of-Camp Shindig",28,"6:00 pm","June 28, 2013 @ 6:00 pm – 9:00 pm",admin,48,http://itp.nyu.edu/camp2013/ai1ec_event/end-of-camp-shindig/?instance_id=1134,"Half show &amp; tell, half party, the End of Camp Shindig is an opportunity to celebrate the month we&#8217;ve spent together and share what we&#8217;ve created.","Yes, yes!"
