title,day,time,full_time,organizer,num_comments,url,description,comment
"Meet and Eat",3,"6:00 pm","June 3, 2013 @ 6:00 pm – 7:30 pm",kh928,88,http://itp.nyu.edu/camp2013/ai1ec_event/camp-kick-off/?instance_id=486,"Time to kick off camp! Join us for some snacks and getting to know your fellow campers!",yes!
"Pop-up books and paper circuits",4,"7:00 pm","June 4, 2013 @ 7:00 pm – 9:00 pm",kh928,43,http://itp.nyu.edu/camp2013/ai1ec_event/pop-up-books-and-paper-circuits/?instance_id=188,"Pop-up engineering is really fun and extremely satisfying &#8211; for adults and for kids. But how might we use electricity to change the idea of what &#8220;interactive&#8221; books can be? In this session, participants will create pop-up cards that use the affordances of our materials to really investigate how circuits can change the idea of what a book can be. We&#8217;ll also consider where soft circuits are going by looking at examples in toys and wearable technologies.","I&#8217;m coming to this!"
"Mobile Storytelling as a New Medium",5,"8:00 pm","June 5, 2013 @ 8:00 pm – 9:00 pm",lia.martinez@nyu.edu,51,http://itp.nyu.edu/camp2013/ai1ec_event/mobile-storytelling-as-a-new-medium-2/?instance_id=174,"Mobile Storytelling as a New Medium is the first installment of a 3 part series on creating narratives within in the framework of a app. This lecture is a survey of current artists and projects using the mobile platform to create innovative narrative forms (i.e: Christoph Niemann’s “Petting Zoo”,  David Benqué’s “The Infinite Adventure Machine”, Works from “Les Editions Volumiques” etc…).",Yes
"Shop Safety!",6,"5:00 pm","June 6, 2013 @ 5:00 pm – 6:00 pm","Crys Moore",10,http://itp.nyu.edu/camp2013/ai1ec_event/shop-safety-6/?instance_id=621,"Get Shop certified!","I&#8217;m coming."
"Introduction to Soft Circuits",6,"7:00 pm","June 6, 2013 @ 7:00 pm – 8:30 pm",kh928,52,http://itp.nyu.edu/camp2013/ai1ec_event/introduction-to-soft-circuits/?instance_id=779,"In this class, we will go over conductive materials used in creating soft circuits, such as different thread, fabrics, inks and fasteners, along with looking at microcontrollers designed specifically for wearable electronics. Projects that have been created utilizing these techniques will also be shown. We will then create a simple soft circuit with a switch and that lights up a LED. Attendees will have the chance to learn or expand on basic hand sewing techniques and experience working with new materials and skills.",Yes
"Introduction to Soft Circuits",6,"7:00 pm","June 6, 2013 @ 7:00 pm – 8:30 pm",kh928,52,http://itp.nyu.edu/camp2013/ai1ec_event/introduction-to-soft-circuits/?instance_id=779,"In this class, we will go over conductive materials used in creating soft circuits, such as different thread, fabrics, inks and fasteners, along with looking at microcontrollers designed specifically for wearable electronics. Projects that have been created utilizing these techniques will also be shown. We will then create a simple soft circuit with a switch and that lights up a LED. Attendees will have the chance to learn or expand on basic hand sewing techniques and experience working with new materials and skills.",yes!
"Acrylic Cutting and Bending",7,"10:30 am","June 7, 2013 @ 10:30 am – 11:30 am","Ben Light",28,http://itp.nyu.edu/camp2013/ai1ec_event/acrylic-cutting-and-bending/?instance_id=361,"Learn a fast and easy way to prototype precision parts using the laser cutter.  And then literally take it in a new direction with the acrylic bender.  Quickly turn 2D parts into 3 dimensional objects.","Me too"
"Acrylic Cutting and Bending",7,"10:30 am","June 7, 2013 @ 10:30 am – 11:30 am","Ben Light",28,http://itp.nyu.edu/camp2013/ai1ec_event/acrylic-cutting-and-bending/?instance_id=361,"Learn a fast and easy way to prototype precision parts using the laser cutter.  And then literally take it in a new direction with the acrylic bender.  Quickly turn 2D parts into 3 dimensional objects.","I&#8217;m going."
"Intro to the Soft Lab",7,"6:30 pm","June 7, 2013 @ 6:30 pm – 7:30 pm",Roopa,18,http://itp.nyu.edu/camp2013/ai1ec_event/intro-to-the-soft-lab/?instance_id=742,"This workshop will introduce you to the basics of using ITP&#8217;s soft lab resources &#8212; specifically the sewing machines, the embroidery machine, and the vinyl cutter.  This will mostly be a demo session, so no materials are required!","I want this!"
"Wearables Hack Day",9,"12:00 pm","June 9, 2013 @ 12:00 pm – 6:00 pm",no_wars_no_cars@yahoo.de,13,http://itp.nyu.edu/camp2013/ai1ec_event/wearables-hack-day/?instance_id=604,"Do you sew? Do you play with microcontrollers? Then join us for ITP Camp wearables hack day!","yes. I just made a bag of t-shirts to get rid of, so I&#8217;ll bring them."
Github,9,"2:00 pm","June 9, 2013 @ 2:00 pm – 3:00 pm",lkbgift@gmail.com,16,http://itp.nyu.edu/camp2013/ai1ec_event/github/?instance_id=645,"What will the session cover?","I am coming!"
